From Geojson;From Wiki
Adorf/Vogtland;Adorf
;Altchemnitz
Altenberg;
Altmittweida;Altmittweida
Amtsberg;Amtsberg
Annaberg-Buchholz;Annaberg-Buchholz
Arnsdorf;Arnsdorf
Arzberg;
;Aue
Aue-Bad Schlema;
Auerbach;Auerbach
Auerbach/Vogtland;Auerbach
Augustusburg;Augustusburg
Bad Brambach;
Bad Düben;
Bad Elster;Bad Elster
Bad Gottleuba-Berggießhübel;
Bad Lausick;
Bad Muskau - Mužakow;Bad Muskau
;Bad Schlema
;Bärenstein
Bad Schandau;
Bahretal;
Bannewitz;
Bärenstein;
Bautzen - Budyšin;Bautzen
Beiersdorf;Beiersdorf
Beilrode;
Belgern-Schildau;
Belgershain;
Bennewitz;
Bergen;Bergen
Bernsdorf;Bernsdorf
Bernsdorf;Bernsdorf
;Bernsdorf
Bernstadt auf dem Eigen;Bernstadt a. d. Eigen
Bertsdorf-Hörnitz;Bertsdorf-Hörnitz
Bischofswerda;Bischofswerda
Bobritzsch-Hilbersdorf;Bobritzsch-Hilbersdorf
Bockau;Bockau
Böhlen;
Borna;
Börnichen/Erzgebirge;Börnichen
Borsdorf;
;Borstendorf
Bösenbrunn;Bösenbrunn
Boxberg/O.L. - Hamor;Boxberg
Brand-Erbisdorf;Brand-Erbisdorf
Brandis;
Breitenbrunn/Erzgebirge;Breitenbrunn
;Bretnig-Hauswalde
Burgstädt;Burgstädt
Burkau - Porchow;Burkau
Burkhardtsdorf;Burkhardtsdorf
Callenberg;Callenberg
Cavertitz;
Claußnitz;Claußnitz
Colditz;
;Cossebaude)
Coswig;Coswig
Crimmitschau;Crimmitschau
Crinitzberg;Crinitzberg
Crostwitz - Chrósćicy;Crostwitz
Crottendorf;Crottendorf
Cunewalde;Cunewalde
Dahlen;
Delitzsch;Delitzsch
Demitz-Thumitz;Demitz-Thumitz
Dennheritz;Dennheritz
Deutschneudorf;Deutschneudorf
;die Stadtbezirke Mitte, Ost, Nord und Süd der Stadt Zwickau im Landkreis Zwickau
Diera-Zehren;
Dippoldiswalde;
Döbeln;Döbeln
Doberschau-Gaußig - Dobruša-Huska;Doberschau-Gaußig
Doberschütz;
Dohma;
Dohna;
Dommitzsch;
Dorfchemnitz;Dorfchemnitz
Dorfhain;
Drebach;Drebach
;Dresden (Stadtbezirk Pieschen
;Dresden (u. a. Äußere Neustadt
;Dresden (u. a. Blasewitz)
;Dresden (u. a. Innere Altstadt
;Dresden (u. a. Löbtau
;Dresden (u. a. Plauen
;Dresden (u. a. Prohlis
Dreiheide;
Dürrhennersdorf;Dürrhennersdorf
Dürrröhrsdorf-Dittersbach;
Ebersbach;
Ebersbach-Neugersdorf;Ebersbach-Neugersdorf
;Ebersdorf
Ehrenfriedersdorf;Ehrenfriedersdorf
