Wahlkreisnummer;Wahlkreisname;Enthaltene Städte und Gemeinden
1;Vogtland 1;die Stadt Plauen im Vogtlandkreis
2;Vogtland 2;Adorf, Bad Elster, Markneukirchen, Oelsnitz, Pausa-Mühltroff, Schöneck,Bad Brambach, Bergen, Bösenbrunn, Eichigt, Mühlental, Reuth, Rosenbach, Theuma, Tirpersdorf, Triebel, Weischlitz, Werda im Vogtlandkreis
3;Vogtland 3;Auerbach, Falkenstein, Klingenthal, Treuen, Ellefeld, Grünbach, Muldenhammer, Neuensalz, Neustadt im Vogtlandkreis
4;Vogtland 4;Elsterberg, Lengenfeld, Mylau, Netzschkau, Reichenbach im Vogtland, Rodewisch, Heinsdorfergrund, Limbach, Neumark, Pöhl, Steinberg im Vogtlandkreis
5;Zwickau 1;Hartenstein, Kirchberg, Wildenfels, Wilkau-Haßlau, Crinitzberg, Hartmannsdorf, Hirschfeld, Langenweißbach, Lichtentanne, Mülsen, Reinsdorf im Landkreis Zwickau
6;Zwickau 2;Crimmitschau, Werdau, Dennheritz, Fraureuth, Langenbernsdorf, Neukirchen, West der Stadt Zwickau im Landkreis Zwickau
7;Zwickau 3;die Stadtbezirke Mitte, Ost, Nord und Süd der Stadt Zwickau im Landkreis Zwickau
8;Zwickau 4;Glauchau, Lichtenstein, Meerane, Waldenburg, Bernsdorf, Oberwiera, Remse, St. Egidien im Landkreis Zwickau
9;Zwickau 5;Hohenstein-Ernstthal, Limbach-Oberfrohna, Oberlungwitz, Callenberg, Gersdorf, Niederfrohna im Landkreis Zwickau
10;Chemnitz 1;von der Stadt Chemnitz die Stadtteile: Altendorf, Grüna, Hutholz, Kaßberg, Mittelbach, Morgenleite, Rabenstein, Reichenbrand, Röhrsdorf, Rottluff, Schloßchemnitz, Siegmar und Stelzendorf
11;Chemnitz 2;von der Stadt Chemnitz die Stadtteile: Borna-Heinersdorf, Ebersdorf, Furth, Gablenz, Glösa-Draisdorf, Hilbersdorf, Lutherviertel, Sonnenberg, Wittgensdorf, Yorckgebiet und Zentrum
